Data,Produto,Cliente,Estado,Valor venda un.,Quantidade
2020-02-05T17:40:35Z,Costela Bovina,23Rd Century,Região Sul,35.49,15
2020-02-05T17:40:35Z,Maminha,Life Paths,Espírito Santo,26.65,93
2020-02-05T17:40:35Z,Alcatra,DualLight,Alagoas,29.89,33
2020-02-05T17:40:35Z,Lagarto,Muno Random,Piauí,42.74,50
2020-02-05T17:40:35Z,Pexinho bovino,Motion Random,Espírito Santo,8.11,27
2020-02-05T17:40:35Z,Peito bovino,Eclipse Random,Tocantis,48.17,79
2020-02-05T17:40:35Z,Alcatra,Odds And Ends,Sergipe,30.06,18
2020-02-05T17:40:35Z,Filé mingnon,Sense Random,Rio Grande do Sul,14.01,84
2020-02-05T17:40:35Z,Chandanga,Spray Shop,Tocantis,32.86,62
2020-02-05T17:40:35Z,Cupim maturado,Resource Random,Pernambuco,10.59,34
2020-02-05T17:40:35Z,Maminha,Life Paths,Rondônia,27.05,76
2020-02-05T17:40:35Z,Filé mingnon,Odds And Ends,Pará,13.75,51
2020-02-05T17:40:35Z,Filé mingnon,CraftCreate,Paraíba,14.14,68
2020-02-06T17:40:35Z,Lombo,Knick Knacks,Sergipe,35.91,81
2020-02-06T17:40:35Z,Contra filé,In A Pinch,Rio Grande do Norte,31.70,91
2020-02-06T17:40:35Z,Picanha,Sense Random,Rio de Janeiro,16.11,29
2020-02-06T17:40:35Z,Costelinha,Absent-Minded,Região Sudeste,42.16,87
2020-02-06T17:40:35Z,Filé mingnon,Muno Random,Mato Grosso,13.40,74
2020-02-06T17:40:35Z,Pexinho bovino,Though Random,Paraná,8.06,6
2020-02-06T17:40:35Z,Contra filé,DualLight,Sergipe,31.93,87
2020-02-06T17:40:35Z,Capa do contra filé,DualLight,Rio de Janeiro,22.14,13
2020-02-06T17:40:35Z,Paleta bovino,Light Random,Maranhão,8.53,79
2020-02-06T17:40:35Z,Paleta bovino,Forel Library,Roraima,8.85,28
2020-02-06T17:40:35Z,Chandanga,Odds And Ends,Ceará,32.72,82
2020-02-06T17:40:35Z,Picanha,The Source,São Paulo,16.36,90
2020-02-06T17:40:35Z,Costelinha,Light Random,Tocantis,41.80,76
2020-02-07T17:40:35Z,Alcatra,The Source,Rio Grande do Sul,30.17,7
2020-02-07T17:40:35Z,Contra filé,Radiate Random,Paraná,31.55,40
2020-02-07T17:40:35Z,Costela Bovina,Resource Random,Sergipe,35.89,14
2020-02-07T17:40:35Z,Acém bovino,PrimeHouse,Paraíba,12.27,24
2020-02-07T17:40:35Z,Capa do contra filé,Forel Library,Bahia,21.74,19
2020-02-07T17:40:35Z,Pernil com osso,FursKips,Tocantis,36.06,93
2020-02-07T17:40:35Z,Capa do contra filé,Destroy Random,Mato Grosso do Sul,22.36,80
2020-02-07T17:40:35Z,Toucinho,Et Cetera,Mato Grosso,12.86,56
2020-02-07T17:40:35Z,Chandanga,Handy Help,Pará,32.73,52
2020-02-08T17:40:35Z,Chandanga,X Marks The Spot,Santa Catarina,32.80,33
2020-02-08T17:40:35Z,Acém bovino,Authority Random,Roraima,11.49,38
2020-02-08T17:40:35Z,Lagarto,Spiritual Beings,Santa Catarina,42.89,66
2020-02-08T17:40:35Z,Contra filé,Fleet Random,Amapá,32.03,92
2020-02-08T17:40:35Z,Contra filé,Spray Shop,Acre,31.60,57
2020-02-08T17:40:35Z,Pexinho bovino,Et Cetera,Santa Catarina,7.66,61
2020-02-08T17:40:35Z,Picanha,Find Agenda,Sergipe,16.18,4
2020-02-08T17:40:35Z,Lagarto,Motion Random,Região Sul,42.71,61
2020-02-08T17:40:35Z,Costela Bovina,Knick Knacks,Espírito Santo,35.87,21
2020-02-08T17:40:35Z,Capa do coxão mole,Odd And Ends,Distrito Federal,39.22,19
2020-02-08T17:40:35Z,Lombo,Node Tech,Bahia,36.63,96
2020-02-08T17:40:35Z,Chandanga,DualLight,São Paulo,33.19,39
2020-02-08T17:40:35Z,Picanha,Empty Particles,Rio Grande do Sul,16.47,15
2020-02-10T17:40:35Z,Contra filé,XyloFurniture,Espírito Santo,32.11,32
2020-02-10T17:40:35Z,Acém bovino,Missed Opps,Paraíba,11.47,48
2020-02-11T17:40:35Z,Paleta bovino,Fleet Random,Santa Catarina,9.16,14
2020-02-11T17:40:35Z,Maminha,Puzzles,Região Sudeste,27.21,73
2020-02-11T17:40:35Z,Contra filé,XyloFurniture,Região Sul,32.28,77
2020-02-11T17:40:35Z,Costelinha,XyloFurniture,Região Sudeste,42.39,86
2020-02-11T17:40:35Z,Peito bovino,Motion Random,Piauí,48.67,51
2020-02-11T17:40:35Z,Contra filé,Missed Opps,Rondônia,31.48,95
2020-02-11T17:40:35Z,Acém bovino,Random Refresh,Piauí,11.47,70
2020-02-11T17:40:35Z,Alcatra,Spray Shop,Roraima,29.90,85
2020-02-11T17:40:35Z,Lombo,DualLight,Ceará,36.22,23
2020-02-11T17:40:35Z,Chandanga,Random Repair,Paraíba,32.64,41
2020-02-11T17:40:35Z,Toucinho,Random Row,Minas Gerais,12.70,87
2020-02-12T17:40:35Z,Peito bovino,Absent-Minded,Acre,48.46,93
2020-02-12T17:40:35Z,Cupim maturado,Absent-Minded,Santa Catarina,10.40,49
2020-02-12T17:40:35Z,Chandanga,Shady Bootz,Tocantis,33.57,3
2020-02-12T17:40:35Z,Pernil com osso,The Source,Rio Grande do Norte,36.09,68
2020-02-12T17:40:35Z,Lombo,Vappa Shop,Pernambuco,36.03,75
2020-02-12T17:40:35Z,Capa do contra filé,FirstVictory,Goiás,22.36,89
2020-02-12T17:40:35Z,Paleta bovino,FirstVictory,Região Nordeste,8.59,14
2020-02-12T17:40:35Z,Peito bovino,Authority Random,Minas Gerais,48.48,72
2020-02-12T17:40:35Z,Maminha,Random Riders,Acre,27.84,20
2020-02-12T17:40:35Z,Picanha,Odds And Ends,Ceará,16.49,62
2020-02-12T17:40:35Z,Paleta bovino,Spray Shop,Rio Grande do Sul,9.11,7
2020-02-12T17:40:35Z,Costela Bovina,CraftCreate,Amazonas,35.34,32
2020-02-12T17:40:35Z,Cupim maturado,Cowboy Random,Minas Gerais,10.86,10
2020-02-12T17:40:35Z,Maminha,Million Random,Região Nordeste,27.74,25
2020-02-12T17:40:35Z,Costelinha,X Marks The Spot,Bahia,41.93,53
2020-02-12T17:40:35Z,Costelinha,Limner Studio,Bahia,41.83,3
2020-02-12T17:40:35Z,Contra filé,Motion Random,Mato Grosso,31.91,99
2020-02-12T17:40:35Z,Paleta bovino,In A Pinch,Sergipe,8.79,36
2020-02-13T17:40:35Z,Costelinha,Limner Studio,Mato Grosso do Sul,42.04,94
2020-02-13T17:40:35Z,Alcatra,Shady Bootz,Alagoas,29.91,56
2020-02-13T17:40:35Z,Costela Bovina,FirstVictory,Amazonas,36.22,96
2020-02-13T17:40:35Z,Alcatra,Lifestyle Random,Rio de Janeiro,29.13,76
2020-02-13T17:40:35Z,Acém bovino,FirstVictory,Alagoas,11.91,72
2020-02-13T17:40:35Z,Paleta bovino,Destroy Random,Rondônia,8.62,55
2020-02-13T17:40:35Z,Peito bovino,Resource Refresh,Região Sul,47.49,6
2020-02-13T17:40:35Z,Pexinho bovino,Fleet Random,Amazonas,8.25,48
2020-02-13T17:40:35Z,Lombo,23Rd Century,Mato Grosso do Sul,36.45,58
2020-02-13T17:40:35Z,Alcatra,Destroy Random,Roraima,29.22,16
2020-02-13T17:40:35Z,Peito bovino,XyloFurniture,Piauí,47.40,37
2020-02-13T17:40:35Z,Contra filé,Empty Particles,Piauí,32.28,85
2020-02-13T17:40:35Z,Pexinho bovino,Et Cetera Systems,Tocantis,8.06,94
2020-02-13T17:40:35Z,Pernil com osso,Adventures,Paraná,36.53,57
